,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
55,"ул. Андреевская, д. 3, лит. А",2,57,5, 231 ,5400000,94737,4900000,85965,03.04.2017,19.11.2017
56,"ул. Андреевская, д. 3, лит. А",2,75,3, 176 ,8990000,119867,6500000,86667,02.11.2016,26.04.2017
57,"ул. Андреевская, д. 3, лит. А",студия,20,1, 152 ,1700000,85000,1600000,80000,09.06.2015,07.11.2015
58,"ул. Андреевская, д. 3, лит. А",2,57,5, 133 ,4890000,85790,4950000,86843,03.03.2015,13.07.2015
59,"ул. Андреевская, д. 3, лит. А",2,"52,8",5, 75 ,4500000,85228,4300000,81440,13.02.2015,28.04.2015
60,"ул. Андреевская, д. 3, лит. А",1,25,5, 16 ,2200000,88000,2200000,88000,27.11.2014,12.12.2014
61,"ул. Андреевская, д. 3, лит. А",2,52,3, 7 ,4700000,90385,4700000,90385,30.11.2014,06.12.2014
62,"ул. Андреевская, д. 5, лит. А",2,"40,6",2, 46 ,3600000,88670,3600000,88670,31.05.2017,15.07.2017
63,"ул. Андреевская, д. 7, лит. А",2,48,3, 40 ,4100000,85417,3300000,68750,21.03.2018,29.04.2018
64,"ул. Андреевская, д. 7, лит. А",3,72,3, 40 ,5300000,73612,5300000,73612,10.11.2017,19.12.2017
65,"остров. Канонерский, д. 12, к. 2, лит. А",2,45,2, 390 ,4000000,88889,4050000,90000,10.03.2019,02.04.2020
66,"остров. Канонерский, д. 12, к. 2, лит. А",2,46,3, 55 ,4400000,95653,4400000,95653,25.07.2019,17.09.2019
67,"остров. Канонерский, д. 12, к. 2, лит. А",3,62,3, 42 ,4100000,66130,4100000,66130,24.03.2018,04.05.2018
68,"остров. Канонерский, д. 12, к. 2, лит. А",2,"45,7",4, 143 ,3400000,74399,3400000,74399,24.10.2017,15.03.2018
69,"остров. Канонерский, д. 12, к. 2, лит. А",3,57,3, 150 ,4800000,84211,4800000,84211,11.09.2017,07.02.2018
70,"остров. Канонерский, д. 12, к. 2, лит. А",3,63,3, 51 ,4800000,76191,4800000,76191,20.11.2017,09.01.2018
71,"остров. Канонерский, д. 12, к. 2, лит. А",2,"48,5",1, 125 ,3400000,70104,3400000,70104,03.08.2017,05.12.2017
72,"остров. Канонерский, д. 12, к. 2, лит. А",2,"45,6",3, 92 ,4500000,98685,4300000,94299,18.05.2017,17.08.2017
73,"остров. Канонерский, д. 12, к. 2, лит. А",свободная планировка,48,1, 46 ,3800000,79167,3800000,79167,21.08.2015,05.10.2015
74,"остров. Канонерский, д. 13, лит. А",4,"49,6",2, 90 ,3980000,80307,3980000,80307,28.08.2019,25.11.2019
75,"остров. Канонерский, д. 13, лит. А",3,"42,1",3, 20 ,3300000,78385,3300000,78385,15.11.2018,04.12.2018
76,"остров. Канонерский, д. 13, лит. А",3,42,2, 201 ,4200000,100000,4300000,102381,27.11.2014,15.06.2015
77,"остров. Канонерский, д. 16, лит. А",1,33,4, 751 ,3250000,98485,3150000,95455,20.06.2017,10.07.2019
78,"остров. Канонерский, д. 16, лит. А",1,31,3, 104 ,3400000,109678,3400000,109678,02.03.2019,13.06.2019
79,"остров. Канонерский, д. 16, лит. А",1,34,1, 49 ,3070000,90295,2900000,85295,27.01.2019,16.03.2019
80,"остров. Канонерский, д. 16, лит. А",1,31,1, 25 ,3000000,96775,3000000,96775,04.02.2019,28.02.2019
81,"остров. Канонерский, д. 16, лит. А",1,36,1, 28 ,2700000,75000,2700000,75000,22.07.2018,18.08.2018
82,"остров. Канонерский, д. 16, лит. А",4,"100,6",3, 233 ,6750000,67098,6600000,65607,27.11.2017,17.07.2018
83,"остров. Канонерский, д. 16, лит. А",2,51,3, 145 ,4100000,80393,4100000,80393,21.05.2017,12.10.2017
84,"остров. Канонерский, д. 16, лит. А",1,"31,1",1, 34 ,3000000,96464,3000000,96464,03.08.2017,05.09.2017
85,"остров. Канонерский, д. 16, лит. А",1,30,2, 141 ,2600000,86667,2450000,81667,02.06.2016,20.10.2016
